Orig GRP,ExamID,Mailing Round,CompID,Set Number,Number of knowns with sufficient reproducible detail for comparison,Examiner's Analysis,Score,Pair,AnalType,Gun_K1,Lot #_1,Gun_K2,Lot #_2,Gun_Q,Lot #_3,Bullet/Case,M_NM,Ber_NonBer,Gun_1,Gun_2,ExamID_2,ExamID_3,Round
Org-Grp-104,SH,C,Group 102,25,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,AA-I,New,AA,π 02_2016-01_81,AA,π 02_2016-01_81,I,π 78_2016-04_35,Bullet,NM,Beretta,AA,I,SH,C,1
Org-Grp-104,SH,C,Group 102,26,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,Y-G,New,Y,π 111_2014-06_21,Y,π 111_2014-06_21,G,π 78_2016-04_188,Bullet,NM,Beretta,Y,G,SH,C,1
Org-Grp-104,SH,C,Group 102,27,2,Inc-C,Non-Matched(gt) marked Inconclusive,A-J,New,A,π 154_2016-08_35,A,π 154_2016-08_35,J,π 154_2016-08_125,Bullet,NM,Beretta,A,J,SH,C,1
Org-Grp-104,SH,C,Group 102,28,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,D-M,New,D,π 78_2016-04_35,D,π 78_2016-04_35,M,π 78_2016-04_35,Bullet,NM,Beretta,D,M,SH,C,1
Org-Grp-104,SH,C,Group 102,29,2,Inc-B,Non-Matched(gt) marked Inconclusive,4-7,New,4,,4,,7,,Bullet,NM,Non_Ber,4,7,SH,C,1
Org-Grp-104,SH,C,Group 102,30,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,B-K,New,B,π 75_2016-04_96,B,π 75_2016-04_96,K,π 75_2016-04_96,Bullet,NM,Beretta,B,K,SH,C,1
Org-Grp-244,AX,I,Group 105,16,2,ID---provide basis,Correct-Match,9-9,New,9,,9,,9,,Bullet,M,Non_Ber,9,9,AX,I,2
Org-Grp-244,AX,I,Group 105,17,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,J-R,New,J,π 154_2016-08_125,J,π 154_2016-08_125,R,π 78_2016-04_35,Bullet,NM,Beretta,J,R,AX,I,2
Org-Grp-244,AX,I,Group 105,18,2,ID---provide basis,Correct-Match,B-B,New,B,π 75_2016-04_96,B,π 75_2016-04_96,B,π 75_2016-04_96,Bullet,M,Beretta,B,B,AX,I,2
Org-Grp-244,AX,I,Group 105,19,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,I-Q,New,I,π 78_2016-04_35,I,π 78_2016-04_35,Q,π 02_2016-01_90,Bullet,NM,Beretta,I,Q,AX,I,2
Org-Grp-244,AX,I,Group 105,20,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,G-O,New,G,π 78_2016-04_188,G,π 78_2016-04_188,O,π 116_2016-06_125,Bullet,NM,Beretta,G,O,AX,I,2
Org-Grp-244,AX,I,Group 105,21,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,1-3,New,1,,1,,3,,Bullet,NM,Non_Ber,1,3,AX,I,2
Org-Grp-244,AX,I,Group 105,22,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,E-M,New,E,π 78_2016-04_35,E,π 78_2016-04_35,M,π 78_2016-04_35,Bullet,NM,Beretta,E,M,AX,I,2
Org-Grp-244,AX,I,Group 105,23,2,ID---provide basis,Correct-Match,8-8,New,8,,8,,8,,Bullet,M,Non_Ber,8,8,AX,I,2
Org-Grp-244,AX,I,Group 105,24,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,C-K,New,C,π 02_2016-01_94,C,π 02_2016-01_94,K,π 75_2016-04_96,Bullet,NM,Beretta,C,K,AX,I,2
Org-Grp-244,AX,I,Group 105,25,2,ID---provide basis,Correct-Match,A-A,New,A,π 154_2016-08_35,A,π 154_2016-08_35,A,π 154_2016-08_35,Bullet,M,Beretta,A,A,AX,I,2
Org-Grp-244,AX,I,Group 105,26,2,Elim-Using Difference in Individual Characteristics,Incorrect-actually Match(gt),10-10,New,10,,10,,10,,Bullet,M,Non_Ber,10,10,AX,I,2
Org-Grp-244,AX,I,Group 105,27,0,Inc-B,Non-Matched(gt) marked Inconclusive,11-2,New,11,,11,,2,,Bullet,NM,Non_Ber,11,2,AX,I,2
Org-Grp-244,AX,I,Group 105,28,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,H-P,New,H,π 154_2016-08_125,H,π 154_2016-08_125,P,π 154_2016-08_96,Bullet,NM,Beretta,H,P,AX,I,2
Org-Grp-244,AX,I,Group 105,29,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,D-L,New,D,π 78_2016-04_35,D,π 78_2016-04_35,L,π 75_2016-04_96,Bullet,NM,Beretta,D,L,AX,I,2
Org-Grp-244,AX,I,Group 105,30,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,F-N,New,F,π 165_2016-08_96,F,π 165_2016-08_96,N,π 78_2016-04_35,Bullet,NM,Beretta,F,N,AX,I,2
Org-Grp-32,ZN,E,Group 107,16,2,Inc-C,Non-Matched(gt) marked Inconclusive,T-Z,New,T,π 78_2016-04_35,T,π 78_2016-04_35,Z,π 116_2016-06_35,Bullet,NM,Beretta,T,Z,ZN,E,1
Org-Grp-32,ZN,E,Group 107,17,2,ID---provide basis,Correct-Match,S-S,New,S,π 154_2016-08_35,S,π 154_2016-08_35,S,π 154_2016-08_35,Bullet,M,Beretta,S,S,ZN,E,1
Org-Grp-32,ZN,E,Group 107,18,2,Inc-A,Non-Matched(gt) marked Inconclusive,6-11,New,6,,6,,11,,Bullet,NM,Non_Ber,6,11,ZN,E,1
Org-Grp-32,ZN,E,Group 107,19,2,Inc-B,Non-Matched(gt) marked Inconclusive,7-1,New,7,,7,,1,,Bullet,NM,Non_Ber,7,1,ZN,E,1
Org-Grp-32,ZN,E,Group 107,20,2,ID---provide basis,Correct-Match,P-P,New,P,π 154_2016-08_96,P,π 154_2016-08_96,P,π 154_2016-08_96,Bullet,M,Beretta,P,P,ZN,E,1
Org-Grp-32,ZN,E,Group 107,21,2,Inc-C,Non-Matched(gt) marked Inconclusive,W-B,New,W,π 78_2016-04_35,W,π 78_2016-04_35,B,π 75_2016-04_96,Bullet,NM,Beretta,W,B,ZN,E,1
Org-Grp-32,ZN,E,Group 107,22,2,Inc-B,Non-Matched(gt) marked Inconclusive,10-4,New,10,,10,,4,,Bullet,NM,Non_Ber,10,4,ZN,E,1
Org-Grp-32,ZN,E,Group 107,23,2,Inc-C,Non-Matched(gt) marked Inconclusive,8-2,New,8,,8,,2,,Bullet,NM,Non_Ber,8,2,ZN,E,1
Org-Grp-32,ZN,E,Group 107,24,0,Inc-B,Non-Matched(gt) marked Inconclusive,Y-D,New,Y,π 111_2014-06_21,Y,π 111_2014-06_21,D,π 78_2016-04_35,Bullet,NM,Beretta,Y,D,ZN,E,1
Org-Grp-32,ZN,E,Group 107,25,2,Inc-C,Non-Matched(gt) marked Inconclusive,X-C,New,X,π 154_2016-08_35,X,π 154_2016-08_35,C,π 02_2016-01_94,Bullet,NM,Beretta,X,C,ZN,E,1
Org-Grp-32,ZN,E,Group 107,26,2,Inc-C,Non-Matched(gt) marked Inconclusive,V-A,New,V,π 78_2016-04_35,V,π 78_2016-04_35,A,π 154_2016-08_35,Bullet,NM,Beretta,V,A,ZN,E,1
Org-Grp-32,ZN,E,Group 107,27,0,Inc-B,Non-Matched(gt) marked Inconclusive,9-3,New,9,,9,,3,,Bullet,NM,Non_Ber,9,3,ZN,E,1
Org-Grp-32,ZN,E,Group 107,28,2,Inc-C,Non-Matched(gt) marked Inconclusive,U-AA,New,U,π 116_2016-06_179,U,π 116_2016-06_179,AA,π 02_2016-01_81,Bullet,NM,Beretta,U,AA,ZN,E,1
Org-Grp-32,ZN,E,Group 107,29,2,ID---provide basis,Correct-Match,R-R,New,R,π 78_2016-04_35,R,π 78_2016-04_35,R,π 78_2016-04_35,Bullet,M,Beretta,R,R,ZN,E,1
Org-Grp-32,ZN,E,Group 107,30,2,ID---provide basis,Correct-Match,Q-Q,New,Q,π 116_2016-06_179,Q,π 116_2016-06_179,Q,π 116_2016-06_179,Bullet,M,Beretta,Q,Q,ZN,E,1
Org-Grp-166,BB,E,Group 109,16,2,Inc-C,Non-Matched(gt) marked Inconclusive,A-J,New,A,π 154_2016-08_35,A,π 154_2016-08_35,J,π 154_2016-08_125,Bullet,NM,Beretta,A,J,BB,E,1
Org-Grp-166,BB,E,Group 109,17,2,Inc-B,Match(gt) marked Inconclusive,2-2,New,2,,2,,2,,Bullet,M,Non_Ber,2,2,BB,E,1
Org-Grp-166,BB,E,Group 109,18,2,Inc-C,Non-Matched(gt) marked Inconclusive,F-O,New,F,π 78_2016-04_188,F,π 78_2016-04_188,O,π 116_2016-06_125,Bullet,NM,Beretta,F,O,BB,E,1
Org-Grp-166,BB,E,Group 109,19,2,Inc-B,Non-Matched(gt) marked Inconclusive,5-8,New,5,,5,,8,,Bullet,NM,Non_Ber,5,8,BB,E,1
Org-Grp-166,BB,E,Group 109,20,2,ID---provide basis,Correct-Match,Y-Y,New,Y,π 111_2014-06_21,Y,π 111_2014-06_21,Y,π 111_2014-06_21,Bullet,M,Beretta,Y,Y,BB,E,1
Org-Grp-166,BB,E,Group 109,21,2,Inc-B,Non-Matched(gt) marked Inconclusive,AA-I,New,AA,π 02_2016-01_81,AA,π 02_2016-01_81,I,π 78_2016-04_35,Bullet,NM,Beretta,AA,I,BB,E,1
Org-Grp-166,BB,E,Group 109,22,2,Inc-B,Non-Matched(gt) marked Inconclusive,D-M,New,D,π 78_2016-04_35,D,π 78_2016-04_35,M,π 78_2016-04_35,Bullet,NM,Beretta,D,M,BB,E,1
Org-Grp-166,BB,E,Group 109,23,2,Inc-C,Non-Matched(gt) marked Inconclusive,4-7,New,4,,4,,7,,Bullet,NM,Non_Ber,4,7,BB,E,1
Org-Grp-166,BB,E,Group 109,24,2,Inc-B,Non-Matched(gt) marked Inconclusive,E-N,New,E,π 78_2016-04_35,E,π 78_2016-04_35,N,π 78_2016-04_35,Bullet,NM,Beretta,E,N,BB,E,1
Org-Grp-166,BB,E,Group 109,25,2,Inc-B,Non-Matched(gt) marked Inconclusive,Z-H,New,Z,π 116_2016-06_119,Z,π 116_2016-06_119,H,π 154_2016-08_125,Bullet,NM,Beretta,Z,H,BB,E,1
Org-Grp-166,BB,E,Group 109,26,2,Inc-B,Non-Matched(gt) marked Inconclusive,B-K,New,B,π 75_2016-04_96,B,π 75_2016-04_96,K,π 75_2016-04_96,Bullet,NM,Beretta,B,K,BB,E,1
Org-Grp-166,BB,E,Group 109,27,2,ID---provide basis,Correct-Match,1-1,New,1,,1,,1,,Bullet,M,Non_Ber,1,1,BB,E,1
Org-Grp-166,BB,E,Group 109,28,2,Inc-C,Non-Matched(gt) marked Inconclusive,G-P,New,G,π 78_2016-04_188,G,π 78_2016-04_188,P,π 154_2016-08_96,Bullet,NM,Beretta,G,P,BB,E,1
Org-Grp-166,BB,E,Group 109,29,2,Inc-B,Non-Matched(gt) marked Inconclusive,3-6,New,3,,3,,6,,Bullet,NM,Non_Ber,3,6,BB,E,1
Org-Grp-166,BB,E,Group 109,30,2,Inc-C,Non-Matched(gt) marked Inconclusive,C-L,New,C,π 02_2016-01_94,C,π 02_2016-01_94,L,π 75_2016-04_96,Bullet,NM,Beretta,C,L,BB,E,1
Org-Grp-231,YP,C,Group 11,16,1,Inc-A,Match(gt) marked Inconclusive,5-5,New,5,,5,,5,,Bullet,M,Non_Ber,5,5,YP,C,1
Org-Grp-231,YP,C,Group 11,17,2,Inc-B,Non-Matched(gt) marked Inconclusive,AA-H,New,AA,π 02_2016-01_81,AA,π 02_2016-01_81,H,π 154_2016-08_125,Bullet,NM,Beretta,AA,H,YP,C,1
Org-Grp-231,YP,C,Group 11,18,2,Inc-A,Match(gt) marked Inconclusive,6-6,New,6,,6,,6,,Bullet,M,Non_Ber,6,6,YP,C,1
Org-Grp-231,YP,C,Group 11,19,2,Inc-B,Non-Matched(gt) marked Inconclusive,D-L,New,D,π 78_2016-04_35,D,π 78_2016-04_35,L,π 75_2016-04_96,Bullet,NM,Beretta,D,L,YP,C,1
Org-Grp-231,YP,C,Group 11,20,2,Inc-C,Non-Matched(gt) marked Inconclusive,C-K,New,C,π 02_2016-01_94,C,π 02_2016-01_94,K,π 75_2016-04_96,Bullet,NM,Beretta,C,K,YP,C,1
Org-Grp-231,YP,C,Group 11,21,2,ID---provide basis,Correct-Match,X-X,New,X,π 154_2016-08_35,X,π 154_2016-08_35,X,π 154_2016-08_35,Bullet,M,Beretta,X,X,YP,C,1
Org-Grp-231,YP,C,Group 11,22,2,ID---provide basis,Correct-Match,W-W,New,W,π 78_2016-04_35,W,π 78_2016-04_35,W,π 78_2016-04_35,Bullet,M,Beretta,W,W,YP,C,1
Org-Grp-231,YP,C,Group 11,23,2,Inc-C,Non-Matched(gt) marked Inconclusive,7-9,New,7,,7,,9,,Bullet,NM,Non_Ber,7,9,YP,C,1
Org-Grp-231,YP,C,Group 11,24,2,Inc-B,Non-Matched(gt) marked Inconclusive,A-I,New,A,π 154_2016-08_35,A,π 154_2016-08_35,I,π 78_2016-04_35,Bullet,NM,Beretta,A,I,YP,C,1
Org-Grp-231,YP,C,Group 11,25,1,Inc-B,Match(gt) marked Inconclusive,4-4,New,4,,4,,4,,Bullet,M,Non_Ber,4,4,YP,C,1
Org-Grp-231,YP,C,Group 11,26,1,Inc-B,Non-Matched(gt) marked Inconclusive,8-10,New,8,,8,,10,,Bullet,NM,Non_Ber,8,10,YP,C,1
Org-Grp-231,YP,C,Group 11,27,2,Inc-B,Non-Matched(gt) marked Inconclusive,Z-G,New,Z,π 116_2016-06_119,Z,π 116_2016-06_119,G,π 78_2016-04_188,Bullet,NM,Beretta,Z,G,YP,C,1
Org-Grp-231,YP,C,Group 11,28,2,Inc-B,Non-Matched(gt) marked Inconclusive,B-J,New,B,π 75_2016-04_96,B,π 75_2016-04_96,J,π 154_2016-08_125,Bullet,NM,Beretta,B,J,YP,C,1
Org-Grp-231,YP,C,Group 11,29,2,Inc-B,Non-Matched(gt) marked Inconclusive,E-M,New,E,π 78_2016-04_35,E,π 78_2016-04_35,M,π 78_2016-04_35,Bullet,NM,Beretta,E,M,YP,C,1
Org-Grp-231,YP,C,Group 11,30,2,Inc-B,Non-Matched(gt) marked Inconclusive,Y-F,New,Y,π 111_2014-06_21,Y,π 111_2014-06_21,F,π 165_2016.08_91,Bullet,NM,Beretta,Y,F,YP,C,1
Org-Grp-296,QN,H,Group 112,16,2,Inc-C,Non-Matched(gt) marked Inconclusive,11-1,New,11,,11,,1,,Bullet,NM,Non_Ber,11,1,QN,H,2
Org-Grp-296,QN,H,Group 112,17,2,ID---provide basis,Correct-Match,V-V,New,V,π 78_2016-04_35,V,π 78_2016-04_35,V,π 78_2016-04_35,Bullet,M,Beretta,V,V,QN,H,2
Org-Grp-296,QN,H,Group 112,18,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,A-H,New,A,π 154_2016-08_35,A,π 154_2016-08_35,H,π 165_2016-08_96,Bullet,NM,Beretta,A,H,QN,H,2
Org-Grp-296,QN,H,Group 112,19,2,ID---provide basis,Correct-Match,U-U,New,U,π 116_2016-06_179,U,π 116_2016-06_179,U,π 116_2016-06_179,Bullet,M,Beretta,U,U,QN,H,2
Org-Grp-296,QN,H,Group 112,20,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,AA-G,New,AA,π 02_2016-01_81,AA,π 02_2016-01_81,G,π 78_2016-04_188,Bullet,NM,Beretta,AA,G,QN,H,2
Org-Grp-296,QN,H,Group 112,21,2,ID---provide basis,Correct-Match,8-8,New,8,,8,,8,,Bullet,M,Non_Ber,8,8,QN,H,2
Org-Grp-296,QN,H,Group 112,22,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,Z-F,New,Z,π 116_2016-06_119,Z,π 116_2016-06_119,F,π 78_2016-04_188,Bullet,NM,Beretta,Z,F,QN,H,2
Org-Grp-296,QN,H,Group 112,23,1,ID---provide basis,Correct-Match,10-10,New,10,,10,,10,,Bullet,M,Non_Ber,10,10,QN,H,2
Org-Grp-296,QN,H,Group 112,24,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,Y-E,New,Y,π 111_2014-06_21,Y,π 111_2014-06_21,E,π 78_2016-04_35,Bullet,NM,Beretta,Y,E,QN,H,2
Org-Grp-296,QN,H,Group 112,25,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,C-J,New,C,π 02_2016-01_94,C,π 02_2016-01_94,J,π 154_2016-08_125,Bullet,NM,Beretta,C,J,QN,H,2
Org-Grp-296,QN,H,Group 112,26,2,Inc-A,Match(gt) marked Inconclusive,7-7,New,7,,7,,7,,Bullet,M,Non_Ber,7,7,QN,H,2
Org-Grp-296,QN,H,Group 112,27,2,ID---provide basis,Correct-Match,W-W,New,W,π 78_2016-04_35,W,π 78_2016-04_35,W,π 78_2016-04_35,Bullet,M,Beretta,W,W,QN,H,2
Org-Grp-296,QN,H,Group 112,28,1,Inc-A,Match(gt) marked Inconclusive,9-9,New,9,,9,,9,,Bullet,M,Non_Ber,9,9,QN,H,2
Org-Grp-296,QN,H,Group 112,29,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,B-I,New,B,π 75_2016-04_96,B,π 75_2016-04_96,I,π 78_2016-04_35,Bullet,NM,Beretta,B,I,QN,H,2
Org-Grp-296,QN,H,Group 112,30,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,X-D,New,X,π 154_2016-08_35,X,π 154_2016-08_35,D,π 78_2016-04_35,Bullet,NM,Beretta,X,D,QN,H,2
Org-Grp-282,DI,I,Group 114,16,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,E-K,New,E,π 78_2016-04_35,E,π 78_2016-04_35,K,π 75_2016-04_96,Bullet,NM,Beretta,E,K,DI,I,2
Org-Grp-282,DI,I,Group 114,17,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,G-M,New,G,π 78_2016-04_188,G,π 78_2016-04_188,M,π 78_2016-04_35,Bullet,NM,Beretta,G,M,DI,I,2
Org-Grp-282,DI,I,Group 114,18,2,ID---provide basis,Correct-Match,B-B,New,B,π 75_2016-04_96,B,π 75_2016-04_96,B,π 75_2016-04_96,Bullet,M,Beretta,B,B,DI,I,2
Org-Grp-282,DI,I,Group 114,19,2,ID---provide basis,Correct-Match,C-C,New,C,π 02_2016-01_94,C,π 02_2016-01_94,C,π 02_2016-01_94,Bullet,M,Beretta,C,C,DI,I,2
Org-Grp-282,DI,I,Group 114,20,2,Inc-B,Non-Matched(gt) marked Inconclusive,5-10,New,5,,5,,10,,Bullet,NM,Non_Ber,5,10,DI,I,2
Org-Grp-282,DI,I,Group 114,21,2,Inc-B,Non-Matched(gt) marked Inconclusive,6-11,New,6,,6,,11,,Bullet,NM,Non_Ber,6,11,DI,I,2
Org-Grp-282,DI,I,Group 114,22,2,Inc-B,Non-Matched(gt) marked Inconclusive,4-9,New,4,,4,,9,,Bullet,NM,Non_Ber,4,9,DI,I,2
